country,importOrExport,year,weapons_Type,units,value,smallArmsOnly
Indonesia,Export,1973,Parts of Non-Military Firearms (89433),,3135,Yes
Italy,Export,1973,Parts of Non-Military Firearms (89433),,32075,Yes
Italy,Export,1973,Parts of Non-Military Firearms (89433),,3066,Yes
Japan,Export,1973,Parts of Non-Military Firearms (89433),,439301,Yes
Mexico,Export,1973,Parts of Non-Military Firearms (89433),,4941,Yes
Mozambique,Export,1973,Parts of Non-Military Firearms (89433),,2049,Yes
Netherlands,Export,1973,Parts of Non-Military Firearms (89433),,2149,Yes
New Caledonia,Export,1973,Parts of Non-Military Firearms (89433),,4014,Yes
New Zealand,Export,1973,Parts of Non-Military Firearms (89433),,4750,Yes
Singapore,Export,1973,Parts of Non-Military Firearms (89433),,2587,Yes
South Africa,Export,1973,Parts of Non-Military Firearms (89433),,6482,Yes
Spain,Export,1973,Parts of Non-Military Firearms (89433),,1424,Yes
Sweden,Export,1973,Parts of Non-Military Firearms (89433),,47651,Yes
Sweden,Export,1973,Parts of Non-Military Firearms (89433),,933,Yes
Switzerland,Export,1973,Parts of Non-Military Firearms (89433),,8207,Yes
Taiwan (ROC),Export,1973,Parts of Non-Military Firearms (89433),,14699,Yes
Thailand,Export,1973,Parts of Non-Military Firearms (89433),,2644,Yes
United Kingdom,Export,1973,Parts of Non-Military Firearms (89433),,27277,Yes
Unspecified Country,Export,1973,Revolvers and Pistols (95105),121447,7207419,Yes
Unspecified Country,Export,1973,Revolvers and Pistols (95105),2736,110184,Yes
Unspecified Country,Export,1973,Side Arms and Parts (95104),,490347,No
Unspecified Country,Export,1973,Side Arms and Parts (95104),,52949,No
Unspecified Country,Export,1973,Parts of Military Ordinance (95103),,18912044,No
Unspecified Country,Export,1973,Parts of Military Ordinance (95103),,64145,No
Unspecified Country,Export,1973,Military Weapons (95102),,91852101,No
Unspecified Country,Export,1973,Military Weapons (95102),,82126,No
Unspecified Country,Export,1973,Bombs; Missiles; and Ammunition (95106),,252949973,No
Unspecified Country,Export,1973,Bombs; Missiles; and Ammunition (95106),,179580,No
Venezuela,Export,1973,Parts of Non-Military Firearms (89433),,2737,Yes
All Countries,Export,1974,Military Weapons (95102),,76486665,No
All Countries,Export,1974,Military Weapons (95102),,130871,No
All Countries,Export,1974,Parts of Military Ordinance (95103),,27337178,No
All Countries,Export,1974,Parts of Military Ordinance (95103),,89936,No
All Countries,Export,1974,Parts of Non-Military Firearms (89433),,3275103,Yes
All Countries,Export,1974,Parts of Non-Military Firearms (89433),,101968,Yes
All Countries,Export,1974,Side Arms and Parts (95104),,529308,No
All Countries,Export,1974,Side Arms and Parts (95104),,115201,No
All Countries,Export,1974,Revolvers and Pistols (95105),163788,9424639,Yes
All Countries,Export,1974,Revolvers and Pistols (95105),31182,316677,Yes
All Countries,Export,1974,Bombs; Missiles; and Ammunition (95106),,361086693,No
All Countries,Export,1974,Bombs; Missiles; and Ammunition (95106),,74123,No
Argentina,Export,1974,Parts of Non-Military Firearms (89433),,2384,Yes
Australia,Export,1974,Parts of Non-Military Firearms (89433),,82716,Yes
Australia,Export,1974,Parts of Non-Military Firearms (89433),,13677,Yes
Austria,Export,1974,Parts of Non-Military Firearms (89433),,4466,Yes
Bahamas,Export,1974,Parts of Non-Military Firearms (89433),,1784,Yes
Bahamas,Export,1974,Parts of Non-Military Firearms (89433),,545,Yes
Belgium,Export,1974,Parts of Non-Military Firearms (89433),,205846,Yes
Belgium,Export,1974,Parts of Non-Military Firearms (89433),,38906,Yes
Canada,Export,1974,Parts of Non-Military Firearms (89433),,1898770,Yes
Colombia,Export,1974,Parts of Non-Military Firearms (89433),,1312,Yes
Denmark,Export,1974,Parts of Non-Military Firearms (89433),,4259,Yes
Denmark,Export,1974,Parts of Non-Military Firearms (89433),,3721,Yes
Dominican Republic,Export,1974,Parts of Non-Military Firearms (89433),,3562,Yes
El Salvador,Export,1974,Parts of Non-Military Firearms (89433),,2464,Yes
Finland,Export,1974,Parts of Non-Military Firearms (89433),,11753,Yes
Finland,Export,1974,Parts of Non-Military Firearms (89433),,11753,Yes
France,Export,1974,Parts of Non-Military Firearms (89433),,80391,Yes
France,Export,1974,Parts of Non-Military Firearms (89433),,509,Yes
Germany (Federal Republic),Export,1974,Parts of Non-Military Firearms (89433),,114942,Yes
Greece,Export,1974,Parts of Non-Military Firearms (89433),,1165,Yes
Guatemala,Export,1974,Parts of Non-Military Firearms (89433),,2399,Yes
Honduras,Export,1974,Parts of Non-Military Firearms (89433),,2295,Yes
Hong Kong,Export,1974,Parts of Non-Military Firearms (89433),,876,Yes
Iceland,Export,1974,Parts of Non-Military Firearms (89433),,4414,Yes
Israel,Export,1974,Parts of Non-Military Firearms (89433),,1500,Yes
Italy,Export,1974,Parts of Non-Military Firearms (89433),,49288,Yes
Italy,Export,1974,Parts of Non-Military Firearms (89433),,16973,Yes
Jamaica,Export,1974,Parts of Non-Military Firearms (89433),,821,Yes
Japan,Export,1974,Parts of Non-Military Firearms (89433),,538089,Yes
Japan,Export,1974,Parts of Non-Military Firearms (89433),,7554,Yes
Korea; South (ROK),Export,1974,Parts of Non-Military Firearms (89433),,2000,Yes
Kuwait,Export,1974,Parts of Non-Military Firearms (89433),,5002,Yes
Lebanon,Export,1974,Parts of Non-Military Firearms (89433),,11947,Yes
Libya,Export,1974,Parts of Non-Military Firearms (89433),,969,Yes
Malaysia,Export,1974,Parts of Non-Military Firearms (89433),,2976,Yes
Mexico,Export,1974,Parts of Non-Military Firearms (89433),,2562,Yes
Mozambique,Export,1974,Parts of Non-Military Firearms (89433),,2099,Yes
Netherlands,Export,1974,Parts of Non-Military Firearms (89433),,3413,Yes
New Caledonia,Export,1974,Parts of Non-Military Firearms (89433),,832,Yes
New Zealand,Export,1974,Parts of Non-Military Firearms (89433),,11779,Yes
Norway,Export,1974,Parts of Non-Military Firearms (89433),,1414,Yes
Panama,Export,1974,Parts of Non-Military Firearms (89433),,1813,Yes
Paraguay,Export,1974,Parts of Non-Military Firearms (89433),,983,Yes
Singapore,Export,1974,Parts of Non-Military Firearms (89433),,571,Yes
South Africa,Export,1974,Parts of Non-Military Firearms (89433),,24792,Yes
Spain,Export,1974,Parts of Non-Military Firearms (89433),,4922,Yes
Surinam,Export,1974,Parts of Non-Military Firearms (89433),,13125,Yes
Sweden,Export,1974,Parts of Non-Military Firearms (89433),,45378,Yes
Switzerland,Export,1974,Parts of Non-Military Firearms (89433),,7651,Yes
Switzerland,Export,1974,Parts of Non-Military Firearms (89433),,6800,Yes
Taiwan (ROC),Export,1974,Parts of Non-Military Firearms (89433),,16425,Yes
Tanzania,Export,1974,Parts of Non-Military Firearms (89433),,643,Yes
Thailand,Export,1974,Parts of Non-Military Firearms (89433),,5440,Yes
Turkey,Export,1974,Parts of Non-Military Firearms (89433),,4739,Yes
United Arab Emirates,Export,1974,Parts of Non-Military Firearms (89433),,4204,Yes
United Kingdom,Export,1974,Parts of Non-Military Firearms (89433),,73216,Yes
United Kingdom,Export,1974,Parts of Non-Military Firearms (89433),,1530,Yes
Unspecified Country,Export,1974,Parts of Military Ordinance (95103),,27337178,No
Unspecified Country,Export,1974,Parts of Military Ordinance (95103),,89936,No
Unspecified Country,Export,1974,Military Weapons (95102),,76486665,No
Unspecified Country,Export,1974,Military Weapons (95102),,130871,No
Unspecified Country,Export,1974,Revolvers and Pistols (95105),163788,9424639,Yes
Unspecified Country,Export,1974,Revolvers and Pistols (95105),31182,316677,Yes
Unspecified Country,Export,1974,Side Arms and Parts (95104),,529308,No
Unspecified Country,Export,1974,Side Arms and Parts (95104),,115201,No
Unspecified Country,Export,1974,Bombs; Missiles; and Ammunition (95106),,361086693,No
Unspecified Country,Export,1974,Bombs; Missiles; and Ammunition (95106),,74123,No
Venezuela,Export,1974,Parts of Non-Military Firearms (89433),,10712,Yes
All Countries,Export,1975,Military Weapons (95102),,103981306,No
All Countries,Export,1975,Military Weapons (95102),,244585,No
All Countries,Export,1975,Parts of Military Ordinance (95103),,44822476,No
All Countries,Export,1975,Parts of Military Ordinance (95103),,16598,No
All Countries,Export,1975,Side Arms and Parts (95104),,458193,No
All Countries,Export,1975,Side Arms and Parts (95104),,87621,No
All Countries,Export,1975,Parts of Non-Military Firearms (89433),,5196672,Yes
All Countries,Export,1975,Parts of Non-Military Firearms (89433),,54516,Yes
All Countries,Export,1975,Revolvers and Pistols (95105),228180,18605437,Yes
All Countries,Export,1975,Revolvers and Pistols (95105),3401,320967,Yes
All Countries,Export,1975,Bombs; Missiles; and Ammunition (95106),,696591127,No
All Countries,Export,1975,Bombs; Missiles; and Ammunition (95106),,47759,No
Argentina,Export,1975,Parts of Non-Military Firearms (89433),,4008,Yes
Australia,Export,1975,Parts of Non-Military Firearms (89433),,173196,Yes
Australia,Export,1975,Parts of Non-Military Firearms (89433),,3262,Yes
Austria,Export,1975,Parts of Non-Military Firearms (89433),,10906,Yes
Bahrain,Export,1975,Parts of Non-Military Firearms (89433),,1535,Yes
Barbados,Export,1975,Parts of Non-Military Firearms (89433),,1600,Yes
Belgium,Export,1975,Parts of Non-Military Firearms (89433),,27373,Yes
Belgium,Export,1975,Parts of Non-Military Firearms (89433),,1500,Yes
Canada,Export,1975,Parts of Non-Military Firearms (89433),,3176135,Yes
Canada,Export,1975,Parts of Non-Military Firearms (89433),,8635,Yes
Chile,Export,1975,Parts of Non-Military Firearms (89433),,1229,Yes
Costa Rica,Export,1975,Parts of Non-Military Firearms (89433),,3283,Yes
Denmark,Export,1975,Parts of Non-Military Firearms (89433),,6500,Yes
Finland,Export,1975,Parts of Non-Military Firearms (89433),,45511,Yes
Finland,Export,1975,Parts of Non-Military Firearms (89433),,1299,Yes
France,Export,1975,Parts of Non-Military Firearms (89433),,80693,Yes
France,Export,1975,Parts of Non-Military Firearms (89433),,1641,Yes
